Index,TensorID,TensorShape,TensorNumElement,TensorEachByte,TensorType,TensorStorgeid,gpuid
280,720,"[64, 64, 3, 3]",36864,4,output,225,0
281,722,[64],64,4,output,723,0
282,720,"[64, 64, 3, 3]",36864,4,input,225,0
283,731,"[64, 64, 3, 3]",36864,4,output,225,0
284,722,[64],64,4,input,723,0
285,736,[64],64,4,output,723,0
286,726,"[128, 64, 224, 224]",411041792,4,grad_output,31,0
287,725,"[128, 64, 224, 224]",411041792,4,input,15,0
288,740,"[128, 64, 224, 224]",411041792,4,output,706,0
289,740,"[128, 64, 224, 224]",411041792,4,grad_output,706,0
290,4,"[128, 3, 224, 224]",19267584,4,input,5,0
291,6,"[64, 3, 3, 3]",1728,4,weight,7,0
292,276,[],0,0,output,0,0
293,746,"[64, 3, 3, 3]",1728,4,output,747,0
294,749,[64],64,4,output,750,0
295,746,"[64, 3, 3, 3]",1728,4,input,747,0
296,757,"[64, 3, 3, 3]",1728,4,output,747,0
297,749,[64],64,4,input,750,0
298,762,[64],64,4,output,750,0
299,764,[],1,4,input,765,0
300,766,[],1,4,input,767,0
301,768,[],1,4,input,769,0
302,770,[],1,4,input,771,0
303,772,[],1,4,input,773,0
304,774,[],1,4,input,775,0
305,776,[],1,4,input,777,0
306,778,[],1,4,input,779,0
307,780,[],1,4,input,781,0
308,782,[],1,4,input,783,0
309,784,[],1,4,input,785,0
310,786,[],1,4,input,787,0
311,788,[],1,4,input,789,0
312,790,[],1,4,input,791,0
313,792,[],1,4,input,793,0
314,794,[],1,4,input,795,0
315,796,[],1,4,input,797,0
316,798,[],1,4,input,799,0
317,800,[],1,4,input,801,0
318,802,[],1,4,input,803,0
319,804,[],1,4,input,805,0
320,806,[],1,4,input,807,0
321,808,[],1,4,input,809,0
322,810,[],1,4,input,811,0
323,812,[],1,4,input,813,0
324,814,[],1,4,input,815,0
325,1077,"[64, 3, 3, 3]",1728,4,input,1078,0
326,1079,[64],64,4,input,1080,0
327,1081,"[64, 64, 3, 3]",36864,4,input,1082,0
328,1083,[64],64,4,input,1084,0
329,1085,"[128, 64, 3, 3]",73728,4,input,1086,0
330,1087,[128],128,4,input,1088,0
331,1089,"[128, 128, 3, 3]",147456,4,input,1090,0
332,1091,[128],128,4,input,1092,0
333,1093,"[256, 128, 3, 3]",294912,4,input,1094,0
334,1095,[256],256,4,input,1096,0
335,1097,"[256, 256, 3, 3]",589824,4,input,1098,0
336,1099,[256],256,4,input,1100,0
337,1101,"[512, 256, 3, 3]",1179648,4,input,1102,0
338,1103,[512],512,4,input,1104,0
339,1105,"[512, 512, 3, 3]",2359296,4,input,1106,0
340,1107,[512],512,4,input,1108,0
341,1109,"[512, 512, 3, 3]",2359296,4,input,1110,0
342,1111,[512],512,4,input,1112,0
343,1113,"[512, 512, 3, 3]",2359296,4,input,1114,0
344,1115,[512],512,4,input,1116,0
345,1117,"[4096, 25088]",102760448,4,input,1118,0
346,1119,[4096],4096,4,input,1120,0
347,1121,"[4096, 4096]",16777216,4,input,1122,0
348,1123,[4096],4096,4,input,1124,0
349,1125,"[1000, 4096]",4096000,4,input,1126,0
350,1127,[1000],1000,4,input,1128,0
351,757,"[64, 3, 3, 3]",1728,4,input,747,0
352,762,[64],64,4,input,750,0
353,731,"[64, 64, 3, 3]",36864,4,input,225,0
354,736,[64],64,4,input,723,0
355,697,"[128, 64, 3, 3]",73728,4,input,686,0
356,702,[128],128,4,input,689,0
357,670,"[128, 128, 3, 3]",147456,4,input,249,0
358,675,[128],128,4,input,662,0
359,637,"[256, 128, 3, 3]",294912,4,input,229,0
360,642,[256],256,4,input,629,0
361,611,"[256, 256, 3, 3]",589824,4,input,600,0
362,616,[256],256,4,input,603,0
363,578,"[512, 256, 3, 3]",1179648,4,input,311,0
364,583,[512],512,4,input,570,0
365,552,"[512, 512, 3, 3]",2359296,4,input,193,0
366,557,[512],512,4,input,544,0
367,519,"[512, 512, 3, 3]",2359296,4,input,508,0
368,524,[512],512,4,input,511,0
369,492,"[512, 512, 3, 3]",2359296,4,input,482,0
370,497,[512],512,4,input,279,0
371,447,"[4096, 25088]",102760448,4,input,422,0
372,436,[4096],4096,4,input,429,0
373,395,"[4096, 4096]",16777216,4,input,370,0
374,384,[4096],4096,4,input,377,0
375,343,"[1000, 4096]",4096000,4,input,318,0
376,332,[1000],1000,4,input,325,0
377,1130,"[64, 3, 3, 3]",1728,4,input,1131,0
378,1132,[64],64,4,input,1133,0
379,1134,"[64, 64, 3, 3]",36864,4,input,1135,0
380,1136,[64],64,4,input,1137,0
381,1138,"[128, 64, 3, 3]",73728,4,input,1139,0
382,1140,[128],128,4,input,1141,0
383,1142,"[128, 128, 3, 3]",147456,4,input,1143,0
384,1144,[128],128,4,input,1145,0
385,1146,"[256, 128, 3, 3]",294912,4,input,1147,0
386,1148,[256],256,4,input,1149,0
387,1150,"[256, 256, 3, 3]",589824,4,input,1151,0
388,1152,[256],256,4,input,1153,0
389,1154,"[512, 256, 3, 3]",1179648,4,input,1155,0
390,1156,[512],512,4,input,1157,0
391,1158,"[512, 512, 3, 3]",2359296,4,input,1159,0
392,1160,[512],512,4,input,1161,0
393,1162,"[512, 512, 3, 3]",2359296,4,input,1163,0
394,1164,[512],512,4,input,1165,0
395,1166,"[512, 512, 3, 3]",2359296,4,input,1167,0
396,1168,[512],512,4,input,1169,0
397,1170,"[4096, 25088]",102760448,4,input,1171,0
398,1172,[4096],4096,4,input,1173,0
399,1174,"[4096, 4096]",16777216,4,input,1175,0
400,1176,[4096],4096,4,input,1177,0
401,1178,"[1000, 4096]",4096000,4,input,1179,0
402,1180,[1000],1000,4,input,1181,0
403,1130,"[64, 3, 3, 3]",1728,4,input,1131,0
404,1132,[64],64,4,input,1133,0
405,1134,"[64, 64, 3, 3]",36864,4,input,1135,0
406,1136,[64],64,4,input,1137,0
407,1138,"[128, 64, 3, 3]",73728,4,input,1139,0
408,1140,[128],128,4,input,1141,0
409,1142,"[128, 128, 3, 3]",147456,4,input,1143,0
410,1144,[128],128,4,input,1145,0
