Index,TensorID,TensorShape,TensorNumElement,TensorEachByte,TensorType,TensorStorgeid,gpuid
541,1365,"[256, 128, 3, 3]",294912,4,input,1366,0
542,1368,[256],256,4,input,1369,0
543,1371,"[256, 256, 3, 3]",589824,4,input,241,0
544,1373,[256],256,4,input,1374,0
545,1376,"[512, 256, 3, 3]",1179648,4,input,1377,0
546,1379,[512],512,4,input,1380,0
547,1382,"[512, 512, 3, 3]",2359296,4,input,415,0
548,1384,[512],512,4,input,1385,0
549,1387,"[512, 512, 3, 3]",2359296,4,input,1388,0
550,1390,[512],512,4,input,1391,0
551,1393,"[512, 512, 3, 3]",2359296,4,input,1394,0
552,1396,[512],512,4,input,1397,0
553,1399,"[4096, 25088]",102760448,4,input,119,0
554,1401,[4096],4096,4,input,1402,0
555,1404,"[4096, 4096]",16777216,4,input,79,0
556,1406,[4096],4096,4,input,1407,0
557,1409,"[1000, 4096]",4096000,4,input,195,0
558,1411,[1000],1000,4,input,1412,0
559,1342,"[64, 3, 3, 3]",1728,4,input,1343,0
560,1345,[64],64,4,input,287,0
561,1347,"[64, 64, 3, 3]",36864,4,input,1348,0
562,1350,[64],64,4,input,1351,0
563,1353,"[128, 64, 3, 3]",73728,4,input,1354,0
564,1356,[128],128,4,input,1357,0
565,1359,"[128, 128, 3, 3]",147456,4,input,1360,0
566,1362,[128],128,4,input,1363,0
567,1365,"[256, 128, 3, 3]",294912,4,input,1366,0
568,1368,[256],256,4,input,1369,0
569,1371,"[256, 256, 3, 3]",589824,4,input,241,0
570,1373,[256],256,4,input,1374,0
571,1376,"[512, 256, 3, 3]",1179648,4,input,1377,0
572,1379,[512],512,4,input,1380,0
573,1382,"[512, 512, 3, 3]",2359296,4,input,415,0
574,1384,[512],512,4,input,1385,0
575,1387,"[512, 512, 3, 3]",2359296,4,input,1388,0
576,1390,[512],512,4,input,1391,0
577,1393,"[512, 512, 3, 3]",2359296,4,input,1394,0
578,1396,[512],512,4,input,1397,0
579,1399,"[4096, 25088]",102760448,4,input,119,0
580,1401,[4096],4096,4,input,1402,0
581,1404,"[4096, 4096]",16777216,4,input,79,0
582,1406,[4096],4096,4,input,1407,0
583,1409,"[1000, 4096]",4096000,4,input,195,0
584,1411,[1000],1000,4,input,1412,0
585,6,"[64, 3, 3, 3]",1728,4,input,7,0
586,8,[64],64,4,input,9,0
587,22,"[64, 64, 3, 3]",36864,4,input,23,0
588,24,[64],64,4,input,25,0
589,44,"[128, 64, 3, 3]",73728,4,input,45,0
590,46,[128],128,4,input,47,0
591,60,"[128, 128, 3, 3]",147456,4,input,61,0
592,62,[128],128,4,input,63,0
593,82,"[256, 128, 3, 3]",294912,4,input,83,0
594,84,[256],256,4,input,85,0
595,98,"[256, 256, 3, 3]",589824,4,input,99,0
596,100,[256],256,4,input,101,0
597,120,"[512, 256, 3, 3]",1179648,4,input,121,0
598,122,[512],512,4,input,123,0
599,136,"[512, 512, 3, 3]",2359296,4,input,137,0
600,138,[512],512,4,input,139,0
601,158,"[512, 512, 3, 3]",2359296,4,input,159,0
602,160,[512],512,4,input,161,0
603,174,"[512, 512, 3, 3]",2359296,4,input,175,0
604,176,[512],512,4,input,177,0
605,206,"[4096, 25088]",102760448,4,input,207,0
606,208,[4096],4096,4,input,209,0
607,230,"[4096, 4096]",16777216,4,input,231,0
608,232,[4096],4096,4,input,233,0
609,254,"[1000, 4096]",4096000,4,input,255,0
610,256,[1000],1000,4,input,257,0
611,1077,"[64, 3, 3, 3]",1728,4,input,1078,0
612,1079,[64],64,4,input,1080,0
613,1081,"[64, 64, 3, 3]",36864,4,input,1082,0
614,1083,[64],64,4,input,1084,0
615,1085,"[128, 64, 3, 3]",73728,4,input,1086,0
616,1087,[128],128,4,input,1088,0
617,1089,"[128, 128, 3, 3]",147456,4,input,1090,0
618,1091,[128],128,4,input,1092,0
619,1093,"[256, 128, 3, 3]",294912,4,input,1094,0
620,1095,[256],256,4,input,1096,0
621,1097,"[256, 256, 3, 3]",589824,4,input,1098,0
622,1099,[256],256,4,input,1100,0
623,1101,"[512, 256, 3, 3]",1179648,4,input,1102,0
624,1103,[512],512,4,input,1104,0
625,1105,"[512, 512, 3, 3]",2359296,4,input,1106,0
626,1107,[512],512,4,input,1108,0
627,1109,"[512, 512, 3, 3]",2359296,4,input,1110,0
628,1111,[512],512,4,input,1112,0
629,1113,"[512, 512, 3, 3]",2359296,4,input,1114,0
630,1115,[512],512,4,input,1116,0
631,1117,"[4096, 25088]",102760448,4,input,1118,0
632,1119,[4096],4096,4,input,1120,0
633,1121,"[4096, 4096]",16777216,4,input,1122,0
634,1123,[4096],4096,4,input,1124,0
635,1125,"[1000, 4096]",4096000,4,input,1126,0
636,1127,[1000],1000,4,input,1128,0
637,1342,"[64, 3, 3, 3]",1728,4,input,1343,0
638,1345,[64],64,4,input,287,0
639,1347,"[64, 64, 3, 3]",36864,4,input,1348,0
640,1350,[64],64,4,input,1351,0
641,1353,"[128, 64, 3, 3]",73728,4,input,1354,0
642,1356,[128],128,4,input,1357,0
643,1359,"[128, 128, 3, 3]",147456,4,input,1360,0
644,1362,[128],128,4,input,1363,0
645,1365,"[256, 128, 3, 3]",294912,4,input,1366,0
646,1368,[256],256,4,input,1369,0
647,1371,"[256, 256, 3, 3]",589824,4,input,241,0
648,1373,[256],256,4,input,1374,0
649,1376,"[512, 256, 3, 3]",1179648,4,input,1377,0
650,1379,[512],512,4,input,1380,0
651,1382,"[512, 512, 3, 3]",2359296,4,input,415,0
652,1384,[512],512,4,input,1385,0
653,1387,"[512, 512, 3, 3]",2359296,4,input,1388,0
654,1390,[512],512,4,input,1391,0
655,1393,"[512, 512, 3, 3]",2359296,4,input,1394,0
656,1396,[512],512,4,input,1397,0
657,1399,"[4096, 25088]",102760448,4,input,119,0
658,1401,[4096],4096,4,input,1402,0
659,1404,"[4096, 4096]",16777216,4,input,79,0
660,1406,[4096],4096,4,input,1407,0
661,1409,"[1000, 4096]",4096000,4,input,195,0
662,1411,[1000],1000,4,input,1412,0
